H,1,,1,,,,0.701,,-1
Li,3,0,1,0.328,,,3.051,,-1
Be,4,0,2,1.041,,,1.922,,-1
C,6,,4,-0.555175,,,1.459,,-1
O,8,,6,-1.0670375,,,1.45,,-1
Na,11,1,1,0.312,0.357,,3.209,2.802,-1
Mg,12,1,2,0.802,0.904,,2.494,2.213,-1
Al,13,1,3,1.422,1.653,,2.081,1.815,-1
Si,14,,4,,,,2.079,,-1
K,19,1,1,0.248,0.248,,4.025,4.033,-1
Ca,20,1,2,0.61,0.607,,3.276,32.94,-1
Cu,29,0,,0.604,,,1.656,,-1
Zn,30,2,,1.029,1.405,0.664,1.944,1.423,3.012
Ga,31,2,3,1.591,1.832,1.376,1.886,1.638,2.18
Ge,32,2,4,2.123,2.477,2.033,1.884,1.615,1.968
As,33,0,5,2.782,,,1.797,,-1
Se,34,0,6,3.508,,,1.711,,-1
Rb,37,2,1,0.233,0.227,0.313,4.293,4.401,3.193
Ag,47,1,,0.607,0.969,,1.648,1.032,
Cd,48,2,,0.936,1.178,0.659,2.136,1.698,3.034
In,49,2,3,1.417,1.535,1.184,2.117,1.954,2.533
Sn,50,2,4,1.831,2.052,1.795,2.185,1.95,2.229
Sb,51,1,5,2.414,2.683,,2.072,1.864,-1
Te,52,1,6,3.052,3.401,,1.966,1.764,-1
Cs,55,2,1,0.212,0.203,0.393,4.724,4.92,2.545
Ba,56,2,2,0.453,0.458,2.508,4.411,4.363,0.797
Au,79,0,,0.78,,,1.283,,-1
Hg,80,2,,1.203,1.413,0.565,1.662,1.416,3.54
Tl,81,2,3,1.511,1.632,1.088,1.986,1.838,2.757
Pb,82,0,4,1.904,,1.725,2.101,,2.319
Bi,83,2,5,2.39,2.613,2.509,2.092,1.913,1.933